symptom,possible_conditions,advice
watery eyes,Gastroesophageal reflux disease (GERD); Diabetes (hyperglycemia); Rheumatoid arthritis,"Possible causes include: Gastroesophageal reflux disease (GERD), Diabetes (hyperglycemia), Rheumatoid arthritis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
sore throat,Insomnia disorder; Sepsis; COVID-19,"Possible causes include: Insomnia disorder, Sepsis, COVID-19. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
hoarseness,Hypothyroidism; Urinary tract infection (UTI); Hyperthyroidism,"Possible causes include: Hypothyroidism, Urinary tract infection (UTI), Hyperthyroidism. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
difficulty swallowing,Anemia; Migraine; Vitamin B12 deficiency,"Possible causes include: Anemia, Migraine, Vitamin B12 deficiency. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
runny nose,Parkinson's disease; Fracture; Occupational lung disease,"Possible causes include: Parkinson's disease, Fracture, Occupational lung disease. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
nasal congestion,Meningitis; Tuberculosis; Malaria,"Possible causes include: Meningitis, Tuberculosis, Malaria. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
epistaxis (nosebleed),Sepsis; Kidney stones; PID (pelvic inflammatory disease),"Possible causes include: Sepsis, Kidney stones, PID (pelvic inflammatory disease). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
ear pain,Peripheral arterial disease; Seizure disorder (epilepsy); Urinary tract infection (UTI),"Possible causes include: Peripheral arterial disease, Seizure disorder (epilepsy), Urinary tract infection (UTI). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
ear discharge,Otitis media; Diabetes (hyperglycemia); Parkinson's disease,"Possible causes include: Otitis media, Diabetes (hyperglycemia), Parkinson's disease. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
hearing loss,Sepsis; Sports injury / sprain; Herpes zoster (shingles),"Possible causes include: Sepsis, Sports injury / sprain, Herpes zoster (shingles). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
tinnitus (ringing in ears),Cluster headache; Occupational lung disease; Cellulitis,"Possible causes include: Cluster headache, Occupational lung disease, Cellulitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
cough,Earwax impaction; TMJ disorder; Pneumonia,"Possible causes include: Earwax impaction, TMJ disorder, Pneumonia. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
dry cough,Stroke; RSV infection; Allergic reaction,"Possible causes include: Stroke, RSV infection, Allergic reaction. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
productive cough,Laryngitis; Psoriasis; Heart failure,"Possible causes include: Laryngitis, Psoriasis, Heart failure. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
cough with blood (hemoptysis),Parkinson's disease; Bronchitis; Tension headache,"Possible causes include: Parkinson's disease, Bronchitis, Tension headache. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
shortness of breath,Shingles; Bursitis; Psoriasis,"Possible causes include: Shingles, Bursitis, Psoriasis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
wheezing,Tension headache; Encephalitis; Glaucoma,"Possible causes include: Tension headache, Encephalitis, Glaucoma. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chest pain,Hypertension; Meningitis; Insomnia disorder,"Possible causes include: Hypertension, Meningitis, Insomnia disorder. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
pressure-like chest pain,Irritable bowel syndrome (IBS); Multiple sclerosis; Appendicitis,"Possible causes include: Irritable bowel syndrome (IBS), Multiple sclerosis, Appendicitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
sharp chest pain,Seizure disorder (epilepsy); Motion sickness; Herpes zoster (shingles),"Possible causes include: Seizure disorder (epilepsy), Motion sickness, Herpes zoster (shingles). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
palpitations,PID (pelvic inflammatory disease); Multiple sclerosis; Motion sickness,"Possible causes include: PID (pelvic inflammatory disease), Multiple sclerosis, Motion sickness. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rapid heartbeat,Venous insufficiency; Anaphylaxis; Heart failure,"Possible causes include: Venous insufficiency, Anaphylaxis, Heart failure. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
irregular heartbeat,Hypothyroidism; Cluster headache; Appendicitis,"Possible causes include: Hypothyroidism, Cluster headache, Appendicitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high blood pressure symptoms,Benign prostatic hyperplasia (BPH); Glaucoma; Angina,"Possible causes include: Benign prostatic hyperplasia (BPH), Glaucoma, Angina. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low blood pressure symptoms,Vertigo (BPPV); Chronic obstructive pulmonary disease (COPD); Peptic ulcer disease,"Possible causes include: Vertigo (BPPV), Chronic obstructive pulmonary disease (COPD), Peptic ulcer disease. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
swollen legs,Inflammatory bowel disease (IBD); HIV-related infection; Urinary tract infection (UTI),"Possible causes include: Inflammatory bowel disease (IBD), HIV-related infection, Urinary tract infection (UTI). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
leg pain on walking (claudication),Tooth abscess; Occupational lung disease; Anaphylaxis,"Possible causes include: Tooth abscess, Occupational lung disease, Anaphylaxis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
calf pain,Pressure ulcer; Bronchitis; Hypoglycemia,"Possible causes include: Pressure ulcer, Bronchitis, Hypoglycemia. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
joint pain,Diabetes (hyperglycemia); Pressure ulcer; Otitis media,"Possible causes include: Diabetes (hyperglycemia), Pressure ulcer, Otitis media. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
joint swelling,Ovarian cyst; Peripheral neuropathy; Eczema herpeticum,"Possible causes include: Ovarian cyst, Peripheral neuropathy, Eczema herpeticum. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
red swollen joint,Bacterial infection; Occupational lung disease; Carpal tunnel syndrome,"Possible causes include: Bacterial infection, Occupational lung disease, Carpal tunnel syndrome. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
muscle pain,Peptic ulcer disease; Occupational lung disease; PID (pelvic inflammatory disease),"Possible causes include: Peptic ulcer disease, Occupational lung disease, PID (pelvic inflammatory disease). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
muscle cramps,Vertigo (BPPV); Parkinson's disease; Earwax impaction,"Possible causes include: Vertigo (BPPV), Parkinson's disease, Earwax impaction. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
back pain,Meningitis; Food poisoning; Peptic ulcer disease,"Possible causes include: Meningitis, Food poisoning, Peptic ulcer disease. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
neck pain,Gout; Panic disorder; Urinary tract infection (UTI),"Possible causes include: Gout, Panic disorder, Urinary tract infection (UTI). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
stiff neck,Insomnia disorder; Viral infection; Carpal tunnel syndrome,"Possible causes include: Insomnia disorder, Viral infection, Carpal tunnel syndrome. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
numbness,Carpal tunnel syndrome; Multiple sclerosis; Retinal detachment,"Possible causes include: Carpal tunnel syndrome, Multiple sclerosis, Retinal detachment. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
tingling,Meniere's disease; Acute kidney injury; Retinal detachment,"Possible causes include: Meniere's disease, Acute kidney injury, Retinal detachment. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
pins and needles,Gastritis; HIV-related infection; Lupus (SLE),"Possible causes include: Gastritis, HIV-related infection, Lupus (SLE). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
weakness in limb,Sepsis; Retinal detachment; Malaria,"Possible causes include: Sepsis, Retinal detachment, Malaria. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
seizure,Pancreatitis; Inflammatory bowel disease (IBD); Hyperthyroidism,"Possible causes include: Pancreatitis, Inflammatory bowel disease (IBD), Hyperthyroidism. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
tremors,Meniere's disease; Urinary tract infection (UTI); Endometriosis,"Possible causes include: Meniere's disease, Urinary tract infection (UTI), Endometriosis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
memory problems,TMJ disorder; Ovarian cyst; Viral infection,"Possible causes include: TMJ disorder, Ovarian cyst, Viral infection. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
confusion,Pressure ulcer; Cellulitis; Conjunctivitis,"Possible causes include: Pressure ulcer, Cellulitis, Conjunctivitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
difficulty concentrating (brain fog),Fungal infection; Peptic ulcer disease; Hypothyroidism,"Possible causes include: Fungal infection, Peptic ulcer disease, Hypothyroidism. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
sleep problems,COVID-19; Laryngitis; Dermatitis/eczema,"Possible causes include: COVID-19, Laryngitis, Dermatitis/eczema. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
insomnia,Transient ischemic attack (TIA); Pneumonia; Shingles,"Possible causes include: Transient ischemic attack (TIA), Pneumonia, Shingles. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
excessive sleepiness,Heart attack (myocardial infarction); Peripheral arterial disease; Conjunctivitis,"Possible causes include: Heart attack (myocardial infarction), Peripheral arterial disease, Conjunctivitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
anxiety,Bronchiolitis; Bronchitis; Meniere's disease,"Possible causes include: Bronchiolitis, Bronchitis, Meniere's disease. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
panic attacks,PID (pelvic inflammatory disease); Earwax impaction; Cholecystitis,"Possible causes include: PID (pelvic inflammatory disease), Earwax impaction, Cholecystitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
depression,Cholecystitis; Autoimmune disease; Sinusitis,"Possible causes include: Cholecystitis, Autoimmune disease, Sinusitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
mood swings,Eczema herpeticum; Kidney stones; Multiple sclerosis,"Possible causes include: Eczema herpeticum, Kidney stones, Multiple sclerosis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
irritability,Ovarian cyst; Malaria; Anaphylaxis,"Possible causes include: Ovarian cyst, Malaria, Anaphylaxis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
suicidal thoughts,Tension headache; Endometriosis; Vertigo (BPPV),"Possible causes include: Tension headache, Endometriosis, Vertigo (BPPV). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
abdominal pain,Peripheral arterial disease; Sports injury / sprain; Pancreatitis,"Possible causes include: Peripheral arterial disease, Sports injury / sprain, Pancreatitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
upper abdominal pain,Bursitis; Dermatitis/eczema; Heart failure,"Possible causes include: Bursitis, Dermatitis/eczema, Heart failure. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
lower abdominal pain,Vitamin B12 deficiency; Encephalitis; Hyperthyroidism,"Possible causes include: Vitamin B12 deficiency, Encephalitis, Hyperthyroidism. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
right upper quadrant pain,Depression; Ectopic pregnancy; Anxiety disorder,"Possible causes include: Depression, Ectopic pregnancy, Anxiety disorder. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
right lower quadrant pain,Gallstones; Seizure disorder (epilepsy); Cluster headache,"Possible causes include: Gallstones, Seizure disorder (epilepsy), Cluster headache. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
left lower quadrant pain,Bronchitis; Food poisoning; Fungal infection,"Possible causes include: Bronchitis, Food poisoning, Fungal infection. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
colicky abdominal pain,Cellulitis; Eczema herpeticum; Stroke,"Possible causes include: Cellulitis, Eczema herpeticum, Stroke. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
bloating,Cellulitis; Cluster headache; Viral infection,"Possible causes include: Cellulitis, Cluster headache, Viral infection. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
gas,Tuberculosis; Tendonitis; HIV-related infection,"Possible causes include: Tuberculosis, Tendonitis, HIV-related infection. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
heartburn,Pneumonia; Stroke; Bronchitis,"Possible causes include: Pneumonia, Stroke, Bronchitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
acid reflux,Allergic reaction; Contact dermatitis; Tuberculosis,"Possible causes include: Allergic reaction, Contact dermatitis, Tuberculosis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
nausea,Benign prostatic hyperplasia (BPH); Transient ischemic attack (TIA); Rheumatoid arthritis,"Possible causes include: Benign prostatic hyperplasia (BPH), Transient ischemic attack (TIA), Rheumatoid arthritis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
vomiting,Vitamin B12 deficiency; Conjunctivitis; Tension headache,"Possible causes include: Vitamin B12 deficiency, Conjunctivitis, Tension headache. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
vomiting blood (hematemesis),Endometriosis; Cholecystitis; Carpal tunnel syndrome,"Possible causes include: Endometriosis, Cholecystitis, Carpal tunnel syndrome. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
difficulty passing stool,Rabies (rare); Sinusitis; Seizure disorder (epilepsy),"Possible causes include: Rabies (rare), Sinusitis, Seizure disorder (epilepsy). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
constipation,Periodontal disease (gum infection); Sinusitis; Laryngitis,"Possible causes include: Periodontal disease (gum infection), Sinusitis, Laryngitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
diarrhea,Deep vein thrombosis (DVT); Liver disease (hepatitis); Gastroesophageal reflux disease (GERD),"Possible causes include: Deep vein thrombosis (DVT), Liver disease (hepatitis), Gastroesophageal reflux disease (GERD). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
bloody stool,Gastroesophageal reflux disease (GERD); Autoimmune disease; Panic disorder,"Possible causes include: Gastroesophageal reflux disease (GERD), Autoimmune disease, Panic disorder. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
black tarry stool (melena),Anemia; Anaphylaxis; Deep vein thrombosis (DVT),"Possible causes include: Anemia, Anaphylaxis, Deep vein thrombosis (DVT). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rectal bleeding,Otitis media; Peripheral arterial disease; Chronic obstructive pulmonary disease (COPD),"Possible causes include: Otitis media, Peripheral arterial disease, Chronic obstructive pulmonary disease (COPD). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
blood in urine (hematuria),Iron deficiency anemia; Encephalitis; Meningitis,"Possible causes include: Iron deficiency anemia, Encephalitis, Meningitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
painful urination (dysuria),Gastroesophageal reflux disease (GERD); Pneumonia; Heart failure,"Possible causes include: Gastroesophageal reflux disease (GERD), Pneumonia, Heart failure. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
frequent urination,Peripheral arterial disease; Food poisoning; Eustachian tube dysfunction,"Possible causes include: Peripheral arterial disease, Food poisoning, Eustachian tube dysfunction. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
urgent urination,Gastritis; Seizure disorder (epilepsy); Liver disease (hepatitis),"Possible causes include: Gastritis, Seizure disorder (epilepsy), Liver disease (hepatitis). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
incontinence,Liver disease (hepatitis); PID (pelvic inflammatory disease); Anxiety disorder,"Possible causes include: Liver disease (hepatitis), PID (pelvic inflammatory disease), Anxiety disorder. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
lower abdominal pain with urination,Appendicitis; Anaphylaxis; Chronic kidney disease,"Possible causes include: Appendicitis, Anaphylaxis, Chronic kidney disease. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
vaginal bleeding,Rheumatoid arthritis; Otitis media; Seizure disorder (epilepsy),"Possible causes include: Rheumatoid arthritis, Otitis media, Seizure disorder (epilepsy). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
vaginal discharge,Tuberculosis; Depression; Laryngitis,"Possible causes include: Tuberculosis, Depression, Laryngitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
pelvic pain,Eczema herpeticum; Gastroesophageal reflux disease (GERD); Chronic obstructive pulmonary disease (COPD),"Possible causes include: Eczema herpeticum, Gastroesophageal reflux disease (GERD), Chronic obstructive pulmonary disease (COPD). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
menstrual pain (dysmenorrhea),Encephalitis; Endometriosis; Bacterial infection,"Possible causes include: Encephalitis, Endometriosis, Bacterial infection. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
irregular periods,Angina; Vertigo (BPPV); Transient ischemic attack (TIA),"Possible causes include: Angina, Vertigo (BPPV), Transient ischemic attack (TIA). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
vaginal itching,Kidney stones; Deep vein thrombosis (DVT); Conjunctivitis,"Possible causes include: Kidney stones, Deep vein thrombosis (DVT), Conjunctivitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
breast lump,Allergic rhinitis; Tension headache; Heart failure,"Possible causes include: Allergic rhinitis, Tension headache, Heart failure. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
nipple discharge,Pneumonia; Kidney stones; Diabetes (hyperglycemia),"Possible causes include: Pneumonia, Kidney stones, Diabetes (hyperglycemia). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
difficulty getting pregnant,Viral infection; Hypoglycemia; Multiple sclerosis,"Possible causes include: Viral infection, Hypoglycemia, Multiple sclerosis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
erectile dysfunction,Periodontal disease (gum infection); Insomnia disorder; Osteoarthritis,"Possible causes include: Periodontal disease (gum infection), Insomnia disorder, Osteoarthritis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
testicular pain,Anaphylaxis; Fracture; Peripheral arterial disease,"Possible causes include: Anaphylaxis, Fracture, Peripheral arterial disease. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
sexual pain,Periodontal disease (gum infection); Herpes zoster (shingles); Autoimmune disease,"Possible causes include: Periodontal disease (gum infection), Herpes zoster (shingles), Autoimmune disease. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
skin rash,Bursitis; Conjunctivitis; Inflammatory bowel disease (IBD),"Possible causes include: Bursitis, Conjunctivitis, Inflammatory bowel disease (IBD). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
